iter	Passed	Remaining
912	45208	4307
913	45258	4258
914	45308	4208
915	45356	4159
916	45406	4109
917	45456	4060
918	45504	4010
919	45555	3961
920	45604	3911
921	45655	3862
922	45704	3812
923	45752	3763
924	45801	3713
925	45852	3664
926	45902	3614
927	45953	3565
928	46001	3515
929	46051	3466
930	46101	3416
931	46151	3367
932	46202	3317
933	46250	3268
934	46299	3218
935	46351	3169
936	46399	3119
937	46447	3070
938	46498	3020
939	46547	2971
940	46599	2921
941	46647	2872
942	46697	2822
943	46745	2773
944	46796	2723
945	46846	2674
946	46895	2624
947	46947	2575
948	46995	2525
949	47044	2476
950	47095	2426
951	47142	2376
952	47193	2327
953	47242	2277
954	47292	2228
955	47343	2178
956	47390	2129
957	47440	2079
958	47497	2030
959	47548	1981
960	47600	1931
961	47649	1882
962	47698	1832
963	47748	1783
964	47796	1733
965	47896	1685
966	47957	1636
967	48007	1587
968	48055	1537
969	48103	1487
970	48155	1438
971	48202	1388
972	48252	1338
973	48302	1289
974	48354	1239
975	48406	1190
976	48457	1140
977	48506	1091
978	48557	1041
979	48606	991
980	48657	942
981	48708	892
982	48757	843
983	48807	793
984	48856	744
985	48907	694
986	48956	644
987	49005	595
988	49056	545
989	49105	496
990	49156	446
991	49205	396
992	49255	347
993	49304	297
994	49354	248
995	49403	198
996	49452	148
997	49501	99
998	49551	49
999	49600	0
